Time,Building,Action,Adjacency,Distance,Number,Buildings,Resource,Player,Message
0:00,Expansive HQ,Founding,0,0,0,0,,Totakeke,Totakeke has founded a Expansive HQ
0:03,Metal Mine,Build,0,0,1,1,3I,Totakeke,Totakeke has built a Metal Mine
0:04,Scientific HQ,Founding,0,0,0,0,,Mr. Sabotage,Mr. Sabotage has founded a Scientific HQ
0:06,Hydroponic Farm,Build,0,8,1,1,,Mr. Sabotage,Mr. Sabotage has built a Hydroponic Farm
0:06,Steel Mill,Build,0,0,1,2,,Totakeke,Totakeke has built a Steel Mill
0:07,Steel Mill,Build,1,0,1,3,,Totakeke,Totakeke has built a Steel Mill
0:16,Steel Mill,Build,0,0,1,2,,Mr. Sabotage,Mr. Sabotage has built a Steel Mill
0:16,Scavenger HQ,Founding,0,0,0,0,,Ms. Launch,Ms. Launch has founded a Scavenger HQ
0:17,Elemental Quarry,Build,0,3,1,1,1C,Ms. Launch,Ms. Launch has built a Elemental Quarry
0:17,Expansive HQ,Founding,0,0,0,0,,Ms. Production,Ms. Production has founded a Expansive HQ
0:19,Wind Turbine,Build,0,2,1,3,,Mr. Sabotage,Mr. Sabotage has built a Wind Turbine
0:19,Steel Mill,Build,0,0,1,1,,Ms. Production,Ms. Production has built a Steel Mill
0:19,Metal Mine,Build,0,11,1,2,3I,Ms. Production,Ms. Production has built a Metal Mine
0:21,Solar Panel,Build,0,2,1,3,,Ms. Production,Ms. Production has built a Solar Panel
0:36,Hydroponic Farm,Build,0,0,1,2,,Ms. Launch,Ms. Launch has built a Hydroponic Farm
0:36,Water Pump,Build,0,20,1,3,2W,Ms. Launch,Ms. Launch has built a Water Pump
1:07,Metal Mine,Build,0,15,1,4,"2I, 1A",Ms. Production,Ms. Production has built a Metal Mine
1:07,HQ,Upgrade,0,0,0,3,,Totakeke,Totakeke has upgraded their HQ
1:13,Steel Mill,Build,2,0,1,4,,Totakeke,Totakeke has built a Steel Mill
1:14,Metal Mine,Build,1,0,1,5,1I,Totakeke,Totakeke has built a Metal Mine
1:34,Metal Mine,Build,0,4,1,6,2A,Totakeke,Totakeke has built a Metal Mine
1:37,Metal Mine,Build,1,5,1,7,"1I, 1A",Totakeke,Totakeke has built a Metal Mine
1:39,Metal Mine,Build,0,5,1,4,2A,Mr. Sabotage,Mr. Sabotage has built a Metal Mine
1:39,Metal Mine,Build,0,12,1,4,"1I, 1A",Ms. Launch,Ms. Launch has built a Metal Mine
2:34,Steel Mill,Scrap,1,0,-1,6,,Totakeke,Totakeke has scrapped a Steel Mill
2:48,Solar Panel,Build,0,0,1,7,,Totakeke,Totakeke has built a Solar Panel
3:05,Metal Mine,Scrap,1,0,-1,6,1I,Totakeke,Totakeke has scrapped a Metal Mine
3:06,Electrolysis Reactor,Build,0,22,1,5,,Mr. Sabotage,Mr. Sabotage has built a Electrolysis Reactor
3:18,HQ,Upgrade,0,0,0,4,,Ms. Production,Ms. Production has upgraded their HQ
3:18,Steel Mill,Build,1,0,1,7,,Totakeke,Totakeke has built a Steel Mill
3:19,HQ,Upgrade,0,0,0,4,,Ms. Launch,Ms. Launch has upgraded their HQ
3:33,Elemental Quarry,Build,1,4,1,5,1C,Ms. Launch,Ms. Launch has built a Elemental Quarry
3:40,Water Pump,Build,0,15,1,5,1W,Ms. Production,Ms. Production has built a Water Pump
3:47,HQ,Upgrade,0,0,0,7,,Totakeke,Totakeke has upgraded their HQ
3:54,Elemental Quarry,Build,0,17,1,8,2S,Totakeke,Totakeke has built a Elemental Quarry
3:58,Electrolysis Reactor,Build,0,0,1,6,,Ms. Production,Ms. Production has built a Electrolysis Reactor
3:59,Solar Panel,Build,0,1,1,6,,Ms. Launch,Ms. Launch has built a Solar Panel
4:01,Glass Furnace,Build,0,0,1,9,,Totakeke,Totakeke has built a Glass Furnace
4:02,Elemental Quarry,Build,0,2,1,7,,Ms. Production,Ms. Production has built a Elemental Quarry
4:10,Electrolysis Reactor,Build,0,0,1,7,,Ms. Launch,Ms. Launch has built a Electrolysis Reactor
4:12,Water Pump,Build,1,16,1,8,1W,Ms. Production,Ms. Production has built a Water Pump
4:13,Glass Furnace,Build,1,0,1,10,,Totakeke,Totakeke has built a Glass Furnace
